metric_id,value,units,scenario_id,boundary_mode,source_file,json_path,owner
headline_scenario_id,S0_BASE_30MW_OPONLY,id,S0_BASE_30MW_OPONLY,operational_only,results_baseline.json,metadata/scenario_id,Model Integrator
reactor_thermal_power,30.0,MWth,S0_BASE_30MW_OPONLY,operational_only,results_baseline.json,heat_duties_MW/Q_thermal,Adithya
net_electrical_output,9.939310289228523,MWe,S0_BASE_30MW_OPONLY,operational_only,results_baseline.json,power_MW/W_net,Adithya
thermal_efficiency,33.89591226043194,percent,S0_BASE_30MW_OPONLY,operational_only,results_baseline.json,efficiencies/eta_thermal_percent,Stef
net_efficiency,33.13103429742841,percent,S0_BASE_30MW_OPONLY,operational_only,results_baseline.json,efficiencies/eta_net_percent,Stef
energy_closure_rel,0.004346081724319607,fraction,S0_BASE_30MW_OPONLY,operational_only,results_baseline.json,status/energy_closure_rel,Stef
energy_closure_percent,0.4346081724319607,percent,S0_BASE_30MW_OPONLY,operational_only,results_baseline.json,status/energy_closure_rel,Stef
co2_mass_flow,165.89924422669398,kg/s,S0_BASE_30MW_OPONLY,operational_only,results_baseline.json,mass_flows_kg_s/m_dot_CO2,Stef
compressor_inlet_temp,50.0,C,S0_BASE_30MW_OPONLY,operational_only,results_baseline.json,temperatures_C/T_1_compressor_inlet,Stef
turbine_inlet_temp,517.699481658694,C,S0_BASE_30MW_OPONLY,operational_only,results_baseline.json,temperatures_C/T_5_turbine_inlet,Stef
pinch_margin_ihx,13.000215110122895,K,S0_BASE_30MW_OPONLY,operational_only,results_baseline.json,margins/pinch_IHX_min,Stef
pinch_margin_htr,1.6637939226411618,K,S0_BASE_30MW_OPONLY,operational_only,results_baseline.json,margins/pinch_HTR_min,Stef
pinch_margin_ltr,2.816641045023971,K,S0_BASE_30MW_OPONLY,operational_only,results_baseline.json,margins/pinch_LTR_min,Stef
helium_return_margin,10.737286127231641,K,S0_BASE_30MW_OPONLY,operational_only,results_baseline.json,margins/T_He_return_margin_K,Stef
headline_feasible,True,bool,S0_BASE_30MW_OPONLY,operational_only,results_baseline.json,status/feasible,Stef
headline_converged,True,bool,S0_BASE_30MW_OPONLY,operational_only,results_baseline.json,status/converged,Stef
co2_net_reduction,44467.95885591212,tCO2/yr,S0_BASE_30MW_OPONLY,operational_only,co2_reduction_results.json,co2_balance_t_yr/NET_REDUCTION,Prim
primary_fom,1482.2652951970706,tCO2/MWth/yr,S0_BASE_30MW_OPONLY,operational_only,co2_reduction_results.json,figures_of_merit/CO2_reduction_t_per_MWth_per_yr,Prim
dac_capture,44467.95885591212,tCO2/yr,S0_BASE_30MW_OPONLY,operational_only,co2_reduction_results.json,production_rates/CO2_captured_DAC_t_yr,Prim
hydrogen_output,627.3215567667161,t/yr,S0_BASE_30MW_OPONLY,operational_only,co2_reduction_results.json,production_rates/H2_produced_t_yr,Adithya
methanol_output,3245.343520339811,t/yr,S0_BASE_30MW_OPONLY,operational_only,co2_reduction_results.json,production_rates/MeOH_produced_t_yr,Adithya
grid_export,0.0,MWe,S0_BASE_30MW_OPONLY,operational_only,co2_reduction_results.json,allocation/W_to_grid_MW,Prim
uq_mean_fom,1473.9927542209057,tCO2/MWth/yr,S0_BASE_30MW_OPONLY,operational_only,outputs/canonical_pack/uncertainty_summary.json,mean,Prim
uq_p10_fom,1345.2047467870648,tCO2/MWth/yr,S0_BASE_30MW_OPONLY,operational_only,outputs/canonical_pack/uncertainty_summary.json,p10,Prim
uq_p50_fom,1473.1551952137893,tCO2/MWth/yr,S0_BASE_30MW_OPONLY,operational_only,outputs/canonical_pack/uncertainty_summary.json,p50,Prim
uq_p90_fom,1615.1340235310292,tCO2/MWth/yr,S0_BASE_30MW_OPONLY,operational_only,outputs/canonical_pack/uncertainty_summary.json,p90,Prim
uq_ci95_low_fom,1273.7302444746847,tCO2/MWth/yr,S0_BASE_30MW_OPONLY,operational_only,outputs/canonical_pack/uncertainty_summary.json,ci95_low,Prim
uq_ci95_high_fom,1676.263194147399,tCO2/MWth/yr,S0_BASE_30MW_OPONLY,operational_only,outputs/canonical_pack/uncertainty_summary.json,ci95_high,Prim
S0_BASE_30MW_OPONLY_feasible,True,bool,S0_BASE_30MW_OPONLY,operational_only,outputs/canonical_pack/scenarios/S0_BASE_30MW_OPONLY.json,plant/status/feasible,Stef
S0_BASE_30MW_OPONLY_converged,True,bool,S0_BASE_30MW_OPONLY,operational_only,outputs/canonical_pack/scenarios/S0_BASE_30MW_OPONLY.json,plant/status/converged,Stef
S0_BASE_30MW_OPONLY_W_net,9.939310289228523,MWe,S0_BASE_30MW_OPONLY,operational_only,outputs/canonical_pack/scenarios/S0_BASE_30MW_OPONLY.json,plant/power_MW/W_net,Adithya
S0_BASE_30MW_OPONLY_FoM,1482.2652951970706,tCO2/MWth/yr,S0_BASE_30MW_OPONLY,operational_only,outputs/canonical_pack/scenarios/S0_BASE_30MW_OPONLY.json,co2/figures_of_merit/CO2_reduction_t_per_MWth_per_yr,Prim
S1_36MW_OPONLY_feasible,True,bool,S1_36MW_OPONLY,operational_only,outputs/canonical_pack/scenarios/S1_36MW_OPONLY.json,plant/status/feasible,Stef
S1_36MW_OPONLY_converged,True,bool,S1_36MW_OPONLY,operational_only,outputs/canonical_pack/scenarios/S1_36MW_OPONLY.json,plant/status/converged,Stef
S1_36MW_OPONLY_W_net,12.100609717603238,MWe,S1_36MW_OPONLY,operational_only,outputs/canonical_pack/scenarios/S1_36MW_OPONLY.json,plant/power_MW/W_net,Adithya
S1_36MW_OPONLY_FoM,1471.9260782407675,tCO2/MWth/yr,S1_36MW_OPONLY,operational_only,outputs/canonical_pack/scenarios/S1_36MW_OPONLY.json,co2/figures_of_merit/CO2_reduction_t_per_MWth_per_yr,Prim
S2_30MW_FUELDISP_feasible,True,bool,S2_30MW_FUELDISP,fuel_displacement,outputs/canonical_pack/scenarios/S2_30MW_FUELDISP.json,plant/status/feasible,Stef
S2_30MW_FUELDISP_converged,True,bool,S2_30MW_FUELDISP,fuel_displacement,outputs/canonical_pack/scenarios/S2_30MW_FUELDISP.json,plant/status/converged,Stef
S2_30MW_FUELDISP_W_net,9.939310289228523,MWe,S2_30MW_FUELDISP,fuel_displacement,outputs/canonical_pack/scenarios/S2_30MW_FUELDISP.json,plant/power_MW/W_net,Adithya
S2_30MW_FUELDISP_FoM,329.94325790121417,tCO2/MWth/yr,S2_30MW_FUELDISP,fuel_displacement,outputs/canonical_pack/scenarios/S2_30MW_FUELDISP.json,co2/figures_of_merit/CO2_reduction_t_per_MWth_per_yr,Prim
S3_36MW_FUELDISP_feasible,True,bool,S3_36MW_FUELDISP,fuel_displacement,outputs/canonical_pack/scenarios/S3_36MW_FUELDISP.json,plant/status/feasible,Stef
S3_36MW_FUELDISP_converged,True,bool,S3_36MW_FUELDISP,fuel_displacement,outputs/canonical_pack/scenarios/S3_36MW_FUELDISP.json,plant/status/converged,Stef
S3_36MW_FUELDISP_W_net,12.100609717603238,MWe,S3_36MW_FUELDISP,fuel_displacement,outputs/canonical_pack/scenarios/S3_36MW_FUELDISP.json,plant/power_MW/W_net,Adithya
S3_36MW_FUELDISP_FoM,334.7410833546376,tCO2/MWth/yr,S3_36MW_FUELDISP,fuel_displacement,outputs/canonical_pack/scenarios/S3_36MW_FUELDISP.json,co2/figures_of_merit/CO2_reduction_t_per_MWth_per_yr,Prim
